,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,WA,METHAMPHETAMINE,98.0,5.4,2013,1,0
1,AR,METHAMPHETAMINE,93.0,19000.0,2013,1,0
2,AZ,METHAMPHETAMINE,98.0,0.33,2013,1,40
3,KY,METHAMPHETAMINE,85.0,4.4,2013,1,0
4,PA,METHAMPHETAMINE,100.0,54.0,2013,1,4000
5,CA,METHAMPHETAMINE,100.0,9.1,2013,1,0
6,CA,METHAMPHETAMINE,98.0,87000.0,2013,1,0
7,CA,METHAMPHETAMINE,99.0,2200.0,2013,1,0
8,IN,METHAMPHETAMINE,70.0,12.0,2013,1,0
9,KY,METHAMPHETAMINE,45.0,8.2,2013,1,0
10,AR,METHAMPHETAMINE,31.0,1.0,2013,1,0
11,IA,METHAMPHETAMINE,99.0,3.2,2013,1,0
12,OR,METHAMPHETAMINE,97.0,880.0,2013,1,0
13,CA,METHAMPHETAMINE,99.0,14.0,2013,1,0
14,OR,METHAMPHETAMINE,99.0,33.0,2013,1,0
15,NM,METHAMPHETAMINE,99.0,860.0,2013,1,0
16,SD,METHAMPHETAMINE,91.0,0.97,2013,1,0
17,TX,METHAMPHETAMINE,60.0,140.0,2013,1,0
18,CA,METHAMPHETAMINE,99.0,2.8,2013,1,300
19,MO,METHAMPHETAMINE,99.0,110.0,2013,1,0
20,NM,METHAMPHETAMINE,46.0,9.8,2013,1,0
21,NM,METHAMPHETAMINE,93.0,4.4,2013,1,400
22,TX,METHAMPHETAMINE,90.0,14.0,2013,1,0
23,FL,METHAMPHETAMINE,89.0,54.0,2013,1,3000
24,TX,METHAMPHETAMINE,10.0,180.0,2013,1,0
25,CA,METHAMPHETAMINE,99.0,8900.0,2013,1,0
26,MN,METHAMPHETAMINE,100.0,28.0,2013,1,1400
27,OK,METHAMPHETAMINE,99.0,56.0,2013,1,2800
28,MO,METHAMPHETAMINE,72.0,0.56,2013,1,75
29,CA,METHAMPHETAMINE,0.0,0.001,2013,1,0
30,NM,METHAMPHETAMINE,15.0,2.1,2013,1,0
31,TX,METHAMPHETAMINE,97.0,28.0,2013,1,0
32,AZ,METHAMPHETAMINE,100.0,12000.0,2013,1,0
33,KY,METHAMPHETAMINE,47.0,240.0,2013,1,0
34,NM,METHAMPHETAMINE,100.0,6.5,2013,1,460
36,OK,METHAMPHETAMINE,92.0,1.3,2013,1,50
37,ID,METHAMPHETAMINE,98.0,150.0,2013,1,0
38,IA,METHAMPHETAMINE,99.0,3.2,2013,1,0
39,HI,METHAMPHETAMINE,100.0,28.0,2013,1,0
40,AR,METHAMPHETAMINE,98.0,54.0,2013,1,2500
41,TX,METHAMPHETAMINE,100.0,1.6,2013,1,0
42,WA,METHAMPHETAMINE,0.0,0.22,2013,1,0
43,FL,METHAMPHETAMINE,25.0,2000.0,2013,1,0
44,FL,METHAMPHETAMINE,0.0,0.001,2013,1,0
45,CA,METHAMPHETAMINE,100.0,910.0,2013,1,0
46,VA,METHAMPHETAMINE,98.0,20.0,2013,1,0
47,TX,METHAMPHETAMINE,100.0,1.1,2013,1,0
48,TX,METHAMPHETAMINE,100.0,3.3,2013,1,0
49,AZ,METHAMPHETAMINE,100.0,440.0,2013,1,9000
50,NC,METHAMPHETAMINE,0.0,0.34,2013,1,0
51,NC,METHAMPHETAMINE,99.0,140.0,2013,1,0
52,TX,METHAMPHETAMINE,95.0,0.15,2013,1,0
53,MT,METHAMPHETAMINE,94.0,34.0,2013,1,0
54,TX,METHAMPHETAMINE,97.0,3300.0,2013,1,0
55,CO,METHAMPHETAMINE,99.0,28.0,2013,1,1200
56,MT,METHAMPHETAMINE,99.0,28.0,2013,1,2500
57,VA,METHAMPHETAMINE,95.0,0.87,2013,1,0
58,MO,METHAMPHETAMINE,96.0,1.0,2013,1,100
59,CA,METHAMPHETAMINE,100.0,3.0,2013,1,0
60,TX,METHAMPHETAMINE,63.0,13.0,2013,1,0
61,SD,METHAMPHETAMINE,82.0,890.0,2013,1,0
62,KY,METHAMPHETAMINE,48.0,350.0,2013,1,0
63,ID,METHAMPHETAMINE,99.0,870.0,2013,1,0
64,TX,METHAMPHETAMINE,89.0,1.1,2013,1,0
65,MO,METHAMPHETAMINE,99.0,3.4,2013,1,0
66,MO,METHAMPHETAMINE,99.0,3.2,2013,1,300
67,PA,METHAMPHETAMINE,100.0,3.3,2013,1,500
68,PA,METHAMPHETAMINE,100.0,3.4,2013,1,500
69,NV,METHAMPHETAMINE,100.0,28.0,2013,1,600
70,TX,METHAMPHETAMINE,0.0,3.3,2013,1,0
71,MO,METHAMPHETAMINE,100.0,3.4,2013,1,0
72,NM,METHAMPHETAMINE,27.0,10.0,2013,1,0
73,CA,METHAMPHETAMINE,99.0,27.0,2013,1,1000
74,TX,METHAMPHETAMINE,79.0,92.0,2013,1,0
75,TX,METHAMPHETAMINE,70.0,170.0,2013,1,0
